name,symbol,price,change_1h,change_24h,change_7d,market_cap,volume_24h,cmc_rank,slug,url
BitTorrent [New],BTT,0.0,0.35390129,-0.51288143,2.35546038,268760460.8843535,5740642.65010973,108,bittorrent-new,https://coinmarketcap.com/currencies/bittorrent-new/
Humanity,H,0.093656,-6.05531178,-19.59068633,-56.28997293,265246128.44141206,37313335.60661166,109,humanity-protocol,https://coinmarketcap.com/currencies/humanity-protocol/
AINFT,NFT,0.0,-0.06721814,0.24667285,-0.09964653,262076910.43307942,6111934.06181337,110,apenft,https://coinmarketcap.com/currencies/apenft/
Tezos,XTZ,0.221516,0.18476109,0.88438271,-9.37550298,241172044.3720974,8749037.39501931,111,tezos,https://coinmarketcap.com/currencies/tezos/
Conflux,CFX,0.045923,-0.07689195,-0.25541963,-8.06726022,239663905.29608554,5746697.04549621,112,conflux-network,https://coinmarketcap.com/currencies/conflux-network/
Telcoin,TEL,0.00248,0.65559915,1.40378175,-2.14892897,238255001.7411832,1186653.14036062,113,telcoin,https://coinmarketcap.com/currencies/telcoin/
Zebec Network,ZBCN,0.002376,-0.22707572,1.86213414,-8.34122742,237630302.9383797,9950694.30067132,114,zebec-network,https://coinmarketcap.com/currencies/zebec-network/
DoubleZero,2Z,0.067653,0.25176168,-1.08466196,-6.99748216,234851442.79338607,6325332.52718044,115,doublezero,https://coinmarketcap.com/currencies/doublezero/
Monad,MON,0.019841,-0.16983478,-0.42855427,-9.26609928,234624589.49104074,22447810.87957549,116,monad,https://coinmarketcap.com/currencies/monad/
Kaia,KAIA,0.03632,0.04056531,2.37532046,-4.06602333,230678288.341524,11357961.85406689,117,kaia,https://coinmarketcap.com/currencies/kaia/
Bitcoin SV,BSV,11.335022,0.30930808,0.36544757,-8.31663272,227228998.05192846,9375904.94465417,118,bitcoin-sv,https://coinmarketcap.com/currencies/bitcoin-sv/
FLOKI,FLOKI,2.4e-05,0.26492805,-0.48669744,-9.18324813,227001821.15017134,16431564.40304781,119,floki-inu,https://coinmarketcap.com/currencies/floki-inu/
JasmyCoin,JASMY,0.004563,-0.408159,2.43596525,-8.56131999,225614114.85965842,10840013.0811903,120,jasmy,https://coinmarketcap.com/currencies/jasmy/
BUILDon,B,0.220502,0.35824024,-4.73819611,-10.84210632,220501670.93203077,4149470.23597528,121,buildon,https://coinmarketcap.com/currencies/buildon/
Optimism,OP,0.101816,0.3825359,5.60742261,-5.51272738,219871189.38681063,38937744.93959416,122,optimism-ethereum,https://coinmarketcap.com/currencies/optimism-ethereum/
Pendle,PENDLE,1.273779,-0.19325204,-2.37934208,-14.32937475,217833828.40377894,26110532.84949322,123,pendle,https://coinmarketcap.com/currencies/pendle/
Lido DAO,LDO,0.25642,-0.0660837,0.33214466,-12.37658165,216119705.86712664,28924972.56829491,124,lido-dao,https://coinmarketcap.com/currencies/lido-dao/
ETHGas,GWEI,0.11912,-1.41167335,-1.07572851,-1.57748712,208460079.95837307,148444827.58148146,125,eth-gas,https://coinmarketcap.com/currencies/eth-gas/
Starknet,STRK,0.031573,-0.11189822,-1.5946491,-10.71778709,205803212.69110012,14418790.11992006,126,starknet-token,https://coinmarketcap.com/currencies/starknet-token/
Chiliz,CHZ,0.019538,-0.25610125,2.87655806,-19.29819721,203776039.61451203,35979213.33989573,127,chiliz,https://coinmarketcap.com/currencies/chiliz/
Akash Network,AKT,0.688435,1.21663489,-2.57626704,-19.71938401,203154373.59287876,6138208.9079552,128,akash-network,https://coinmarketcap.com/currencies/akash-network/
The Graph,GRT,0.018682,-1.41757021,-0.59520435,-6.10636032,203111761.10787854,15627329.29391361,129,the-graph,https://coinmarketcap.com/currencies/the-graph/
EigenCloud,EIGEN,0.246854,-0.22948989,-4.99452087,19.36694607,195850974.78903058,25960739.24710196,130,eigencloud,https://coinmarketcap.com/currencies/eigencloud/
Decred,DCR,11.174331,-0.04811288,1.56568484,-9.81937246,195341220.7703032,1493354.16400325,131,decred,https://coinmarketcap.com/currencies/decred/
Falcon Finance,FF,0.066904,0.12333873,2.56163405,-11.99339936,192350100.0293937,10989614.23740153,132,falcon-finance-ff,https://coinmarketcap.com/currencies/falcon-finance-ff/
IOTA,IOTA,0.041753,-0.66681798,0.93269911,-13.19572525,188303915.61075783,6187349.16727,133,iota,https://coinmarketcap.com/currencies/iota/
Pieverse,PIEVERSE,0.679395,0.70746188,3.51304045,-1.08398305,180448945.16914615,23468386.94127097,134,pieverse,https://coinmarketcap.com/currencies/pieverse/
Axie Infinity,AXS,1.034516,1.29739884,0.51061988,3.78166,179890287.37363854,28909279.08906432,135,axie-infinity,https://coinmarketcap.com/currencies/axie-infinity/
Ethereum Name Service,ENS,4.388435,0.07876266,0.37917135,-18.20368776,177346771.4584507,11759315.91088847,136,ethereum-name-service,https://coinmarketcap.com/currencies/ethereum-name-service/
Compound,COMP,16.754908,-0.21321739,-1.68259979,-7.8369201,167549083.8297762,8632114.6726981,137,compound,https://coinmarketcap.com/currencies/compound/
Raydium,RAY,0.595994,0.20882414,0.25216398,-3.34563332,160384217.73913044,11540755.00693301,138,raydium,https://coinmarketcap.com/currencies/raydium/
MX Token,MX,1.716865,-0.04070391,-0.48274281,-5.38638865,157672297.6340927,4078356.84067801,139,mx-token,https://coinmarketcap.com/currencies/mx-token/
Plasma,XPL,0.087543,-1.48926912,4.67483713,-6.56137815,157576705.26846856,154489542.37300882,140,plasma-xpl,https://coinmarketcap.com/currencies/plasma-xpl/
Trust Wallet Token,TWT,0.362409,-0.1221998,-0.30325474,-10.86685331,155785453.36839914,6070569.86011708,141,trust-wallet-token,https://coinmarketcap.com/currencies/trust-wallet-token/
Maple Finance,SYRUP,0.129882,-0.19958672,-2.03032465,-9.98362423,154690724.73626432,4432938.31017155,142,maple-finance,https://coinmarketcap.com/currencies/maple-finance/
dogwifhat,WIF,0.154744,-0.30560624,-0.48823629,-7.85879632,154564159.29268503,44901568.57081878,143,dogwifhat,https://coinmarketcap.com/currencies/dogwifhat/
The Sandbox,SAND,0.052115,0.15721749,-0.19353635,-1.5142709,153094414.8375399,16408469.30726054,144,the-sandbox,https://coinmarketcap.com/currencies/the-sandbox/
Onyxcoin,XCN,0.003816,0.66535066,-0.42857504,-5.68075114,147119213.43230283,4590367.62991501,145,onyxcoin,https://coinmarketcap.com/currencies/onyxcoin/
Theta Network,THETA,0.145946,0.21643582,0.09675406,-10.30891105,145945704.38091448,5730245.43466862,146,theta-network,https://coinmarketcap.com/currencies/theta-network/
Neo,NEO,2.065316,0.18967287,0.93268511,-9.53947953,145684950.07719624,8119715.82419791,147,neo,https://coinmarketcap.com/currencies/neo/
OriginTrail,TRAC,0.290884,-0.68393773,-1.76379613,-15.66863702,145441999.1347051,2741709.85766942,148,origintrail,https://coinmarketcap.com/currencies/origintrail/
THORChain,RUNE,0.419157,0.15945727,0.22226622,2.06171533,141821249.8549868,5629664.43582041,149,thorchain,https://coinmarketcap.com/currencies/thorchain/
Decentraland,MANA,0.0697,-0.15664039,-0.88678374,1.12582699,138417480.30749285,10955869.03800109,150,decentraland,https://coinmarketcap.com/currencies/decentraland/
edgeX,EDGE,0.395129,-0.17725872,7.98477176,13.02776491,138295158.15370086,9592990.42854594,151,edgex,https://coinmarketcap.com/currencies/edgex/
Nexus,NEX,2e-06,-0.24675022,-4.02785162,-24.29393087,136824694.11744526,1187679.89839879,152,nexus-labs,https://coinmarketcap.com/currencies/nexus-labs/
ApeCoin,APE,0.135894,-0.17505302,0.88510931,5.90731316,135894236.71114942,16300378.07579793,153,apecoin-ape,https://coinmarketcap.com/currencies/apecoin-ape/
Basic Attention Token,BAT,0.088131,-0.15801173,1.86536476,-3.31936544,131819156.92380646,8421918.86757909,154,basic-attention-token,https://coinmarketcap.com/currencies/basic-attention-token/
Genius Terminal,GENIUS,0.391156,-0.81128736,4.38956995,-4.88346906,131184819.55173193,15686433.16512794,155,genius-terminal,https://coinmarketcap.com/currencies/genius-terminal/
Arweave,AR,1.990423,-0.28228537,2.92773972,-3.55637925,130676147.99359916,13191074.78218341,156,arweave,https://coinmarketcap.com/currencies/arweave/
Fartcoin,FARTCOIN,0.129533,-0.99627774,7.88161407,-3.92425693,129532486.61977458,15190347.45999638,157,fartcoin,https://coinmarketcap.com/currencies/fartcoin/
dYdX,DYDX,0.148681,3.1250186,12.17023365,20.1787004,125498981.17269838,30485337.39570912,158,dydx-chain,https://coinmarketcap.com/currencies/dydx-chain/
Billions Network,BILL,0.05162,0.22244277,-0.64783111,-24.49699192,125342504.13425921,37992506.9929266,159,billions-network,https://coinmarketcap.com/currencies/billions-network/
